Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMcQiIoCD2TGCWcT Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java - startLine: 113;startOffset: 58;endOffset: 69;endLine: 113,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMWNiIoCD2TGCWYR Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/WSEpec.java - startLine: 158;startOffset: 56;endOffset: 67;endLine: 158,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMcQiIoCD2TGCWcN Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java - startLine: 128;startOffset: 58;endOffset: 69;endLine: 128,Security (Vulnerabilities)
To-Do,New,Normal,"java:S6377:  ""Set the 'org.jcp.xml.dsig.secureValidation' property to true on the 'DOMValidateContext' object to validate this XML signature securely.""",MAJOR,15min,Key: AYTIxMZviIoCD2TGCWZ_ Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFAssinaturaDigital.java - startLine: 54;startOffset: 55;endOffset: 73;endLine: 54,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMcQiIoCD2TGCWcP Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java - startLine: 106;startOffset: 58;endOffset: 69;endLine: 106,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMcQiIoCD2TGCWcO Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java - startLine: 32;startOffset: 58;endOffset: 69;endLine: 32,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMT8iIoCD2TGCWUk Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/WSLoteEnvio.java - startLine: 153;startOffset: 56;endOffset: 67;endLine: 153,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxLZdiIoCD2TGCWHv Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/WSRecepcaoLote.java - startLine: 77;startOffset: 56;endOffset: 67;endLine: 77,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMcQiIoCD2TGCWcR Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java - startLine: 90;startOffset: 58;endOffset: 69;endLine: 90,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxL6FiIoCD2TGCWOV Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/WSRecepcaoLote.java - startLine: 78;startOffset: 56;endOffset: 67;endLine: 78,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMZviIoCD2TGCWZ8 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFAssinaturaDigital.java - startLine: 43;startOffset: 66;endOffset: 77;endLine: 43,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMZviIoCD2TGCWZ- Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFAssinaturaDigital.java - startLine: 99;startOffset: 85;endOffset: 96;endLine: 99,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMZviIoCD2TGCWZ9 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFAssinaturaDigital.java - startLine: 117;startOffset: 59;endOffset: 70;endLine: 117,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMcQiIoCD2TGCWcS Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java - startLine: 62;startOffset: 58;endOffset: 69;endLine: 62,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxLRziIoCD2TGCWA1 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/WSLoteEnvio.java - startLine: 128;startOffset: 56;endOffset: 67;endLine: 128,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AYTIxMcQiIoCD2TGCWcQ Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java - startLine: 16;startOffset: 58;endOffset: 69;endLine: 16,Security (Vulnerabilities)
